city,countyOrParish,stateOrProvince,address,shortAddress
Colonie,Albany,NY,"410 Maple Drive, Colonie, NY 12000",410 Maple Drive
Bethlehem,Albany,NY,"3658 State Street, Bethlehem, NY 12001",3658 State Street
Colonie,Albany,NY,"8936 Madison Avenue, Colonie, NY 12002",8936 Madison Avenue
Clifton Park,Saratoga,NY,"6913 Central Avenue, Clifton Park, NY 12003",6913 Central Avenue
Albany,Albany,NY,"1536 Chestnut Street, Albany, NY 12004",1536 Chestnut Street
Bethlehem,Albany,NY,"8280 Western Avenue, Bethlehem, NY 12005",8280 Western Avenue
Schenectady,Schenectady,NY,"3258 Hudson Avenue, Schenectady, NY 12006",3258 Hudson Avenue
Bethlehem,Albany,NY,"7360 Maple Drive, Bethlehem, NY 12007",7360 Maple Drive
Albany,Albany,NY,"2616 Hudson Avenue, Albany, NY 12008",2616 Hudson Avenue
Green Island,Albany,NY,"4553 State Street, Green Island, NY 12009",4553 State Street
Bethlehem,Albany,NY,"5515 Washington Avenue, Bethlehem, NY 12010",5515 Washington Avenue
Colonie,Albany,NY,"6225 Washington Avenue, Colonie, NY 12011",6225 Washington Avenue
Green Island,Albany,NY,"5636 Maple Drive, Green Island, NY 12012",5636 Maple Drive
Albany,Albany,NY,"7528 Washington Avenue, Albany, NY 12013",7528 Washington Avenue
Cohoes,Albany,NY,"1292 Pine Lane, Cohoes, NY 12014",1292 Pine Lane
Clifton Park,Saratoga,NY,"5926 Chestnut Street, Clifton Park, NY 12015",5926 Chestnut Street
Colonie,Albany,NY,"751 Park Boulevard, Colonie, NY 12016",751 Park Boulevard
Watervliet,Albany,NY,"1308 Park Boulevard, Watervliet, NY 12017",1308 Park Boulevard
Colonie,Albany,NY,"6228 Maple Drive, Colonie, NY 12018",6228 Maple Drive
Troy,Rensselaer,NY,"5978 Broadway, Troy, NY 12019",5978 Broadway
Green Island,Albany,NY,"5821 Chestnut Street, Green Island, NY 12020",5821 Chestnut Street
Watervliet,Albany,NY,"1170 Broadway, Watervliet, NY 12021",1170 Broadway
Schenectady,Schenectady,NY,"4011 Broadway, Schenectady, NY 12022",4011 Broadway
Troy,Rensselaer,NY,"6217 Maple Drive, Troy, NY 12023",6217 Maple Drive
Schenectady,Schenectady,NY,"3599 Oak Street, Schenectady, NY 12024",3599 Oak Street
Albany,Albany,NY,"3753 Central Avenue, Albany, NY 12025",3753 Central Avenue
Green Island,Albany,NY,"6573 Maple Drive, Green Island, NY 12026",6573 Maple Drive
Colonie,Albany,NY,"3457 Oak Street, Colonie, NY 12027",3457 Oak Street
Bethlehem,Albany,NY,"8180 Elm Street, Bethlehem, NY 12028",8180 Elm Street
Troy,Rensselaer,NY,"2341 Maple Drive, Troy, NY 12029",2341 Maple Drive
Guilderland,Albany,NY,"4041 Maple Drive, Guilderland, NY 12030",4041 Maple Drive
Clifton Park,Saratoga,NY,"7020 Elm Street, Clifton Park, NY 12031",7020 Elm Street
Green Island,Albany,NY,"3594 State Street, Green Island, NY 12032",3594 State Street
Schenectady,Schenectady,NY,"8086 Madison Avenue, Schenectady, NY 12033",8086 Madison Avenue
Albany,Albany,NY,"1797 State Street, Albany, NY 12034",1797 State Street
Guilderland,Albany,NY,"6917 Madison Avenue, Guilderland, NY 12035",6917 Madison Avenue
Cohoes,Albany,NY,"6253 Lark Street, Cohoes, NY 12036",6253 Lark Street
Schenectady,Schenectady,NY,"4120 Western Avenue, Schenectady, NY 12037",4120 Western Avenue
Colonie,Albany,NY,"8798 Maple Drive, Colonie, NY 12038",8798 Maple Drive
Green Island,Albany,NY,"1828 Pine Lane, Green Island, NY 12039",1828 Pine Lane
Cohoes,Albany,NY,"2592 Lark Street, Cohoes, NY 12040",2592 Lark Street
Albany,Albany,NY,"4316 Broadway, Albany, NY 12041",4316 Broadway
Schenectady,Schenectady,NY,"1744 Pine Lane, Schenectady, NY 12042",1744 Pine Lane
Schenectady,Schenectady,NY,"9978 Chestnut Street, Schenectady, NY 12043",9978 Chestnut Street
Guilderland,Albany,NY,"6127 Broadway, Guilderland, NY 12044",6127 Broadway
Schenectady,Schenectady,NY,"8690 Western Avenue, Schenectady, NY 12045",8690 Western Avenue
Clifton Park,Saratoga,NY,"5311 Delaware Avenue, Clifton Park, NY 12046",5311 Delaware Avenue
Albany,Albany,NY,"1833 River Road, Albany, NY 12047",1833 River Road
Watervliet,Albany,NY,"3924 Central Avenue, Watervliet, NY 12048",3924 Central Avenue
Bethlehem,Albany,NY,"9296 Madison Avenue, Bethlehem, NY 12049",9296 Madison Avenue
Colonie,Albany,NY,"7963 Madison Avenue, Colonie, NY 12050",7963 Madison Avenue
Schenectady,Schenectady,NY,"2061 State Street, Schenectady, NY 12051",2061 State Street
Troy,Rensselaer,NY,"9008 Broadway, Troy, NY 12052",9008 Broadway
